50,10
,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60
V17,87.66,53.15,57.49,45.45,64.82,26.48,39.45,55.01,33.60,33.24,88.87,14.32,63.53,74.30,83.49,58.69,70.61,0.00,27.07,54.34,45.19,68.68,65.80,21.00,21.02,62.39,83.01,46.65,17.12,73.25,37.74,17.20,47.80,47.51,74.69,41.18,39.92,66.07,47.51,53.37,69.29,63.53,85.43,52.15,77.88,34.54,33.24,54.63,18.44,40.50,41.01,57.80,39.56,47.52,36.06,44.64,27.51,65.19,34.23,75.80,76.06
V18,101.32,26.08,55.79,67.62,83.01,32.56,23.09,47.04,56.92,8.49,73.01,40.20,54.08,63.64,66.19,41.79,79.08,27.07,0.00,64.20,60.31,50.12,79.25,33.02,47.30,68.96,75.11,25.55,10.00,53.25,62.97,17.69,36.06,64.20,65.28,58.01,65.31,70.68,71.47,28.65,81.06,78.52,75.66,69.20,86.09,50.00,32.65,68.59,34.89,19.42,46.87,44.72,66.29,20.62,63.13,56.59,30.00,59.14,39.41,64.13,90.52
V19,37.54,81.40,25.18,33.24,28.07,31.91,86.28,37.22,36.25,72.62,69.86,47.01,42.11,49.48,69.46,55.32,16.28,54.34,64.20,0.00,13.89,63.39,16.55,34.18,62.39,10.30,49.24,59.54,58.67,69.35,75.69,68.15,43.66,16.97,47.13,18.79,45.49,15.81,41.01,91.22,16.97,18.25,54.56,18.36,23.54,21.02,32.56,10.44,35.90,83.60,17.69,47.52,69.08,74.81,60.01,10.00,34.21,35.90,24.84,52.39,27.78
V20,42.54,80.95,35.34,20.00,23.26,28.30,80.81,44.72,22.47,68.77,80.06,35.51,51.24,60.01,78.59,61.00,28.28,45.19,60.31,13.89,0.00,70.18,20.62,27.59,50.00,24.19,61.61,61.40,53.08,76.16,62.37,60.75,48.09,5.00,58.14,5.10,31.62,29.68,27.80,88.60,24.52,18.60,66.57,9.49,35.06,10.82,32.57,9.49,27.46,79.21,20.00,54.23,55.36,74.24,46.24,7.28,31.76,46.52,24.04,62.77,31.06
V21,96.46,42.05,39.29,87.66,91.14,50.16,68.15,26.17,82.22,53.14,23.54,75.47,23.26,24.21,16.16,10.30,69.89,68.68,50.12,63.39,70.18,0.00,79.25,56.80,89.02,60.17,36.89,24.60,55.61,6.00,106.04,67.12,23.41,75.17,27.66,71.70,93.30,57.58,94.59,58.01,77.37,81.61,34.01,79.03,74.32,65.51,41.79,73.11,61.72,61.39,50.25,16.00,105.69,39.20,99.36,63.07,46.52,31.76,48.51,22.47,89.50
V22,22.20,97.65,40.20,32.02,15.81,46.69,100.60,53.15,40.00,87.73,83.49,55.79,57.14,63.20,84.01,71.57,15.00,65.80,79.25,16.55,20.62,79.25,0.00,47.43,69.46,20.10,60.44,76.06,72.80,85.16,80.16,81.12,60.17,19.24,60.41,25.00,46.10,24.74,38.63,106.89,5.83,5.00,66.22,16.03,18.87,31.30,48.60,11.18,47.89,98.49,33.84,63.56,71.85,91.02,62.65,22.67,49.52,50.01,40.46,66.19,11.40
V23,69.63,55.66,37.34,35.90,50.00,7.07,53.26,37.54,27.02,41.40,73.76,19.85,46.10,56.85,69.63,46.52,50.29,21.00,33.02,34.18,27.59,56.80,47.43,0.00,35.51,41.59,64.01,40.11,25.50,62.24,52.01,34.01,33.62,31.24,56.61,25.00,37.48,45.10,41.11,61.59,50.12,46.10,67.12,36.24,57.57,17.03,15.62,36.40,5.00,51.66,20.02,43.01,49.68,49.04,42.72,25.06,10.30,46.14,13.60,58.80,58.41
V24,89.50,73.16,72.45,41.23,63.57,42.44,54.13,72.80,30.08,52.24,108.21,16.16,81.40,92.20,103.32,78.87,78.10,21.02,47.30,62.39,50.00,89.02,69.46,35.51,0.00,72.01,99.48,67.60,37.64,93.81,17.03,33.02,67.18,50.25,92.09,45.01,30.00,76.69,39.66,71.06,74.17,65.92,102.63,53.76,85.02,41.44,50.61,59.08,30.89,57.22,53.85,77.08,19.10,67.91,18.38,52.47,44.82,81.63,48.76,94.02,77.88
V25,36.67,83.45,20.88,43.28,34.79,37.95,91.68,34.54,46.52,77.18,63.39,56.32,37.48,43.10,64.01,53.31,10.63,62.39,68.96,10.30,24.19,60.17,20.10,41.59,72.01,0.00,40.85,60.44,64.62,65.97,85.73,75.00,43.27,27.02,40.31,29.07,55.76,5.66,50.99,94.64,17.26,23.77,46.49,27.66,17.20,30.59,36.36,19.21,44.10,88.32,22.47,44.94,79.31,77.08,70.26,19.65,39.40,30.02,30.08,46.10,29.43
V26,71.01,76.24,27.66,81.61,75.61,57.25,97.05,28.64,81.32,81.02,26.25,83.53,21.02,13.00,30.53,37.64,46.69,83.01,75.11,49.24,61.61,36.89,60.44,64.01,99.48,40.85,0.00,53.76,76.30,40.46,115.66,88.65,39.05,65.73,10.20,65.44,92.02,35.74,89.40,91.44,56.29,64.51,6.00,67.60,48.01,62.94,49.77,59.48,68.60,91.27,46.86,31.26,111.83,71.81,103.59,54.82,55.54,17.89,50.77,14.42,67.74
V27,96.52,23.85,41.87,75.17,84.43,35.06,44.41,29.15,67.12,28.86,47.76,55.97,33.53,41.19,40.72,17.12,71.06,46.65,25.55,59.54,61.40,24.60,76.06,40.11,67.60,60.44,53.76,0.00,31.83,27.80,84.38,42.80,17.80,66.22,43.57,61.19,77.52,60.11,81.00,37.95,76.01,76.97,53.08,70.88,77.16,53.60,28.86,67.23,44.41,38.05,42.54,22.56,85.49,18.38,80.32,55.36,31.06,40.72,37.36,41.01,87.32
V28,95.00,36.06,54.15,58.59,75.17,26.83,27.80,47.68,47.54,17.09,77.52,30.27,55.54,65.80,71.28,46.32,74.25,17.12,10.00,58.67,53.08,55.61,72.80,25.50,37.64,64.62,76.30,31.83,0.00,59.46,53.71,12.37,37.95,56.59,66.94,50.25,55.54,67.05,62.03,37.70,75.17,71.59,77.62,61.55,81.44,42.43,29.43,61.85,26.40,26.40,42.15,47.54,56.52,30.41,53.15,50.22,25.30,59.30,34.54,66.73,83.87
V29,102.14,42.19,45.12,93.56,97.13,55.71,69.89,32.14,87.93,55.46,23.02,80.62,28.79,28.32,15.00,15.81,75.58,73.25,53.25,69.35,76.16,6.00,85.16,62.24,93.81,65.97,40.46,27.80,59.46,0.00,110.80,70.60,29.12,81.15,31.89,77.65,98.98,63.25,100.44,58.22,83.20,87.57,36.89,85.02,79.85,71.39,47.43,79.10,67.12,62.94,56.22,22.00,110.79,40.26,104.66,69.07,52.00,37.16,54.34,26.17,95.34
V30,98.33,88.32,88.32,49.09,71.45,59.03,66.00,89.50,40.31,66.94,125.16,32.20,98.08,108.85,120.34,95.90,90.61,37.74,62.97,75.69,62.37,106.04,80.16,52.01,17.03,85.73,115.66,84.38,53.71,110.80,0.00,47.07,84.17,61.52,108.60,57.27,35.36,90.76,44.91,84.38,85.38,76.03,119.04,64.12,97.16,55.36,67.36,70.71,47.20,70.26,69.35,94.05,10.82,83.49,18.44,66.10,61.62,97.91,64.90,110.75,87.09
V31,103.25,41.44,66.01,62.63,81.47,37.11,22.36,60.02,50.80,19.92,89.47,31.38,67.91,78.16,83.01,58.18,84.15,17.20,17.69,68.15,60.75,67.12,81.12,34.01,33.02,75.00,88.65,42.80,12.37,70.60,47.07,0.00,50.29,63.60,79.31,57.20,56.80,77.88,64.66,38.05,84.08,79.32,89.99,68.41,91.42,49.93,41.05,69.97,33.29,24.33,52.63,59.81,52.01,37.12,50.64,59.03,36.35,71.57,45.12,79.06,91.81
V32,79.76,41.62,24.08,64.63,70.21,26.83,58.22,11.70,58.82,42.19,41.11,52.80,18.03,27.89,36.24,13.34,53.82,47.80,36.06,43.66,48.09,23.41,60.17,33.62,67.18,43.27,39.05,17.80,37.95,29.12,84.17,50.29,0.00,53.08,29.27,49.04,69.89,42.52,71.39,55.04,59.48,61.68,39.81,57.31,59.67,42.43,18.38,52.39,38.59,52.77,28.16,10.00,83.01,35.85,76.32,41.30,23.32,23.77,25.32,28.79,71.18
V33,40.31,85.43,39.92,16.28,18.87,32.65,84.17,49.65,21.21,72.62,84.76,36.69,56.04,64.62,83.43,66.00,29.41,47.51,64.20,16.97,5.00,75.17,19.24,31.24,50.25,27.02,65.73,66.22,56.59,81.15,61.52,63.60,53.08,0.00,62.65,6.40,29.07,32.65,24.04,92.66,24.00,16.16,70.83,5.00,35.69,14.21,37.36,9.22,30.48,82.88,25.00,59.21,53.85,78.72,44.64,12.17,36.25,51.08,28.86,67.42,28.64
V34,73.82,66.10,22.83,77.90,74.73,49.65,87.01,19.70,76.22,71.00,23.09,76.40,11.40,3.61,24.74,27.51,48.04,74.69,65.28,47.13,58.14,27.66,60.41,56.61,92.09,40.31,10.20,43.57,66.94,31.89,108.60,79.31,29.27,62.65,0.00,61.40,87.20,36.01,85.59,81.25,57.04,63.95,10.77,65.19,50.80,57.80,41.68,57.57,61.40,81.15,41.23,21.10,105.48,61.61,97.58,51.00,47.51,11.66,43.93,6.32,69.00
V35,46.52,79.71,38.59,16.55,25.00,26.93,77.79,46.84,17.46,66.40,82.86,30.81,53.85,63.06,80.96,62.20,33.38,41.18,58.01,18.79,5.10,71.70,25.00,25.00,45.01,29.07,65.44,61.19,50.25,77.65,57.27,57.20,49.04,6.40,61.40,0.00,27.02,34.48,24.19,86.53,29.27,22.36,70.21,11.31,40.11,8.06,32.39,14.14,24.08,76.58,21.59,55.90,50.33,73.01,41.23,10.63,30.68,49.74,24.08,65.74,34.89
V36,63.07,90.67,64.66,14.14,36.12,43.42,79.16,70.71,11.18,72.53,107.54,25.63,78.55,88.48,104.65,83.17,58.31,39.92,65.31,45.49,31.62,93.30,46.10,37.48,30.00,55.76,92.02,77.52,55.54,98.98,35.36,56.80,69.89,29.07,87.20,27.02,0.00,61.29,9.85,93.01,51.66,41.59,96.54,30.36,64.20,29.41,51.55,38.08,33.14,80.41,46.04,78.39,26.02,84.38,17.03,37.54,47.30,75.60,45.19,90.97,52.01
V37,38.90,83.55,18.87,48.92,39.92,40.79,93.62,32.76,51.88,78.71,59.08,60.83,34.48,39.01,60.21,51.48,12.37,66.07,70.68,15.81,29.68,57.58,24.74,45.10,76.69,5.66,35.74,60.11,67.05,63.25,90.76,77.88,42.52,32.65,36.01,34.48,61.29,0.00,56.64,95.44,21.02,28.79,41.48,33.30,17.20,35.44,38.08,24.84,48.01,89.89,25.32,42.94,84.58,77.34,75.58,24.70,41.76,26.48,32.76,42.01,33.02
V38,54.01,96.10,62.77,7.81,27.02,46.04,86.95,70.58,14.56,79.12,106.93,33.29,77.88,87.24,104.75,84.72,51.97,47.51,71.47,41.01,27.80,94.59,38.63,41.11,39.66,50.99,89.40,81.00,62.03,100.44,44.91,64.66,71.39,24.04,85.59,24.19,9.85,56.64,0.00,99.72,44.38,33.84,94.30,23.85,57.27,29.12,53.46,32.20,37.48,87.66,45.31,79.12,35.13,89.63,26.48,34.67,50.04,73.93,46.10,89.89,43.29
V39,128.70,16.03,78.39,96.18,111.50,60.44,19.70,66.71,85.23,20.62,81.10,67.45,71.47,78.64,73.17,53.94,105.12,53.37,28.65,91.22,88.60,58.01,106.89,61.59,71.06,94.64,91.44,37.95,37.70,58.22,84.38,38.05,55.04,92.66,81.25,86.53,93.01,95.44,99.72,0.00,108.19,106.53,90.26,97.65,111.83,78.49,58.73,96.54,63.53,14.14,73.55,60.44,90.01,19.65,88.57,84.39,57.38,78.55,66.48,78.09,118.26
V40,20.62,98.23,38.08,37.64,21.26,48.60,102.90,51.55,45.10,89.50,80.10,60.02,54.74,60.00,81.10,70.23,9.85,69.29,81.06,16.97,24.52,77.37,5.83,50.12,74.17,17.26,56.29,76.01,75.17,83.20,85.38,84.08,59.48,24.00,57.04,29.27,51.66,21.02,44.38,108.19,0.00,10.82,62.17,21.38,13.04,34.79,49.52,15.13,51.08,100.42,34.66,61.98,77.28,91.68,68.07,25.06,51.09,47.17,41.77,63.00,12.17
V41,24.17,97.94,43.00,27.46,11.18,46.10,99.36,55.44,36.12,87.00,86.98,52.81,60.00,66.61,87.14,73.55,19.85,63.53,78.52,18.25,18.60,81.61,5.00,46.10,65.92,23.77,64.51,76.97,71.59,87.57,76.03,79.32,61.68,16.16,63.95,22.36,41.59,28.79,33.84,106.53,10.82,0.00,70.21,12.17,23.85,29.41,48.88,10.00,46.04,97.59,34.44,65.76,67.48,91.27,58.31,22.20,49.20,53.24,40.50,69.58,12.53
V42,77.01,74.73,31.89,86.53,81.27,60.21,97.05,30.46,85.70,81.10,20.62,86.84,22.14,12.04,25.61,36.35,52.61,85.43,75.66,54.56,66.57,34.01,66.22,67.12,102.63,46.49,6.00,53.08,77.62,36.89,119.04,89.99,39.81,70.83,10.77,70.21,96.54,41.48,94.30,90.26,62.17,70.21,0.00,72.90,54.01,67.27,52.35,64.88,71.85,91.01,50.91,31.06,115.62,70.71,107.56,59.64,58.18,21.26,54.20,12.17,73.68
V43,36.06,90.34,42.72,16.55,13.89,37.59,89.11,53.24,24.02,77.62,87.64,40.85,59.23,67.36,86.68,70.06,28.18,52.15,69.20,18.36,9.49,79.03,16.03,36.24,53.76,27.66,67.60,70.88,61.55,85.02,64.12,68.41,57.31,5.00,65.19,11.31,30.36,33.30,23.85,97.65,21.38,12.17,72.90,0.00,33.84,19.21,42.06,8.49,35.38,87.86,29.15,63.03,55.90,83.63,46.69,16.03,41.15,53.76,33.53,70.21,24.35
V44,23.09,100.42,36.06,50.33,33.97,54.63,108.71,49.93,56.89,94.34,73.33,70.11,51.08,54.13,75.50,68.60,7.28,77.88,86.09,23.54,35.06,74.32,18.87,57.57,85.02,17.20,48.01,77.16,81.44,79.85,97.16,91.42,59.67,35.69,50.80,40.11,64.20,17.20,57.27,111.83,13.04,23.85,54.01,33.84,0.00,44.18,53.54,26.48,59.44,105.48,39.36,60.03,89.50,94.11,80.28,33.38,56.36,42.72,46.96,57.07,21.02
V45,53.34,71.69,35.38,22.20,33.02,18.97,70.09,41.63,18.44,58.41,78.29,26.00,49.24,59.08,75.77,55.73,37.05,34.54,50.00,21.02,10.82,65.51,31.30,17.03,41.44,30.59,62.94,53.60,42.43,71.39,55.36,49.93,42.43,14.21,57.80,8.06,29.41,35.44,29.12,78.49,34.79,29.41,67.27,19.21,44.18,0.00,25.02,20.12,16.64,68.68,16.64,50.00,49.74,65.00,41.05,11.05,22.80,46.23,17.12,61.59,41.88
V46,70.09,49.09,25.02,47.04,55.71,8.60,55.54,22.20,40.52,40.82,58.14,35.36,30.81,41.62,54.08,31.62,46.62,33.24,32.65,32.56,32.57,41.79,48.60,15.62,50.61,36.36,49.77,28.86,29.43,47.43,67.36,41.05,18.38,37.36,41.68,32.39,51.55,38.08,53.46,58.73,49.52,48.88,52.35,42.06,53.54,25.02,0.00,38.95,20.62,51.97,14.87,27.46,65.30,42.44,58.25,26.83,5.83,31.95,8.54,43.42,60.00
V47,33.29,87.98,35.51,24.70,18.03,36.12,89.64,47.01,30.41,77.08,80.28,44.91,52.35,59.91,79.76,64.63,20.25,54.63,68.59,10.44,9.49,73.11,11.18,36.40,59.08,19.21,59.48,67.23,61.85,79.10,70.71,69.97,52.39,9.22,57.57,14.14,38.08,24.84,32.20,96.54,15.13,10.00,64.88,8.49,26.48,20.12,38.95,0.00,36.72,87.73,24.70,57.14,63.06,81.30,53.85,12.21,39.20,46.32,30.53,62.82,22.02
V48,69.97,58.69,41.63,32.89,48.84,12.04,53.74,42.45,23.09,43.05,78.75,15.00,50.99,61.72,74.63,51.43,52.17,18.44,34.89,35.90,27.46,61.72,47.89,5.00,30.89,44.10,68.60,44.41,26.40,67.12,47.20,33.29,38.59,30.48,61.40,24.08,33.14,48.01,37.48,63.53,51.08,46.04,71.85,35.38,59.44,16.64,20.62,36.72,0.00,52.80,23.54,48.01,44.69,52.17,37.74,26.25,15.26,50.77,17.89,63.70,58.52
V49,120.62,23.43,74.33,84.72,101.53,51.86,7.21,64.33,73.36,11.18,84.93,54.78,70.46,79.03,77.37,55.15,98.48,40.50,19.42,83.60,79.21,61.39,98.49,51.66,57.22,88.32,91.27,38.05,26.40,62.94,70.26,24.33,52.77,82.88,81.15,76.58,80.41,89.89,87.66,14.14,100.42,97.59,91.01,87.86,105.48,68.68,51.97,87.73,52.80,0.00,66.29,60.07,76.06,22.85,74.97,75.82,49.41,76.49,58.82,79.01,109.71
V50,55.23,63.82,19.21,37.95,42.20,15.52,69.35,25.30,35.00,55.22,61.72,37.70,32.65,42.44,59.46,41.00,32.25,41.01,46.87,17.69,20.00,50.25,33.84,20.02,53.85,22.47,46.86,42.54,42.15,56.22,69.35,52.63,28.16,25.00,41.23,21.59,46.04,25.32,45.31,73.55,34.66,34.44,50.91,29.15,39.36,16.64,14.87,24.70,23.54,66.29,0.00,34.37,65.00,57.20,56.73,13.15,17.00,29.73,7.62,44.94,45.22
V51,81.54,45.69,24.17,72.03,75.17,36.06,66.01,10.44,67.23,50.04,31.14,62.48,11.18,19.03,26.63,8.60,55.04,57.80,44.72,47.52,54.23,16.00,63.56,43.01,77.08,44.94,31.26,22.56,47.54,22.00,94.05,59.81,10.00,59.21,21.10,55.90,78.39,42.94,79.12,60.44,61.98,65.76,31.06,63.03,60.03,50.00,27.46,57.14,48.01,60.07,34.37,0.00,92.62,40.80,85.70,47.10,32.80,19.21,33.24,19.42,74.04
V52,89.02,92.23,84.20,40.11,62.03,56.73,72.56,87.00,32.89,71.34,123.43,30.23,95.46,106.08,119.20,95.41,83.24,39.56,66.29,69.08,55.36,105.69,71.85,49.68,19.10,79.31,111.83,85.49,56.52,110.79,10.82,52.01,83.01,53.85,105.48,50.33,26.02,84.58,35.13,90.01,77.28,67.48,115.62,55.90,89.50,49.74,65.30,63.06,44.69,76.06,65.00,92.62,0.00,86.88,9.22,59.93,59.82,94.37,61.55,108.19,78.03
V53,112.29,6.71,59.64,84.90,97.49,46.10,29.97,47.41,75.13,17.80,62.65,60.01,51.87,59.03,54.92,34.37,87.68,47.52,20.62,74.81,74.24,39.20,91.02,49.04,67.91,77.08,71.81,18.38,30.41,40.26,83.49,37.12,35.85,78.72,61.61,73.01,84.38,77.34,89.63,19.65,91.68,91.27,70.71,83.63,94.11,65.00,42.44,81.30,52.17,22.85,57.20,40.80,86.88,0.00,83.49,69.12,42.49,59.09,50.77,58.55,102.42
V54,80.10,89.20,75.93,31.02,53.15,49.65,72.28,79.51,23.77,69.03,116.21,24.35,87.86,98.35,112.33,89.07,74.04,36.06,63.13,60.01,46.24,99.36,62.65,42.72,18.38,70.26,103.59,80.32,53.15,104.66,18.44,50.64,76.32,44.64,97.58,41.23,17.03,75.58,26.48,88.57,68.07,58.31,107.56,46.69,80.28,41.05,58.25,53.85,37.74,74.97,56.73,85.70,9.22,83.49,0.00,51.00,53.00,86.31,53.81,100.57,69.00
