100,20
,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120
V10,57.80,36.01,43.17,23.19,18.38,56.86,50.04,67.01,49.50,37.20,0.00,67.62,26.83,30.46,43.17,24.04,60.83,57.14,15.30,22.67,52.89,26.08,51.22,58.69,49.65,53.81,39.82,45.04,25.81,34.71,49.40,63.78,40.00,9.49,36.25,44.05,28.84,45.69,29.15,37.95,48.66,28.64,28.16,29.15,53.85,40.05,61.77,24.52,42.15,10.82,9.22,39.92,41.77,29.12,27.51,29.15,58.83,43.60,44.55,8.25,2.24,44.72,50.80,43.32,28.64,41.05,45.62,44.55,50.36,46.32,35.06,19.92,47.51,34.99,54.04,24.41,53.34,37.12,29.07,47.01,26.40,54.04,24.52,55.44,46.62,37.64,50.33,48.66,60.44,54.82,55.47,56.40,28.43,37.12,51.62,36.07,28.18,64.03,48.17,57.45,44.55,21.40,52.92,11.18,35.47,30.08,58.82,15.03,41.98,45.31,48.84,50.45,67.18,47.93,38.12,12.04,46.69,39.22,53.01,1.00,30.08
V11,99.25,94.87,94.37,88.32,85.45,65.01,40.11,133.65,109.00,104.81,67.62,0.00,61.29,66.49,53.15,69.12,128.32,110.46,81.54,45.00,114.62,80.06,118.11,94.00,18.44,121.02,29.21,44.72,43.42,99.85,115.31,130.86,102.04,71.42,68.59,26.25,71.31,35.00,63.51,41.44,34.37,60.64,42.80,59.03,99.98,42.06,12.04,47.01,95.60,57.43,59.46,104.24,106.47,42.20,57.71,65.73,124.58,27.89,77.20,61.29,65.60,109.13,23.02,98.08,94.07,103.79,63.15,75.96,48.09,78.06,43.86,84.86,77.01,64.26,76.79,43.28,69.35,89.56,67.91,24.52,91.93,110.64,81.61,122.35,110.75,30.00,76.49,108.72,90.26,12.81,94.92,123.04,39.20,96.83,17.72,103.48,68.15,130.82,115.36,72.11,97.53,65.73,22.36,59.68,70.01,44.27,125.18,78.52,62.01,60.02,109.29,111.83,89.14,61.66,101.52,66.60,50.49,40.31,84.01,68.41,88.77
V12,84.31,34.66,33.11,47.85,41.30,30.08,29.53,76.85,48.27,54.92,26.83,61.29,0.00,53.81,18.11,8.60,74.32,49.24,40.02,27.89,54.45,52.84,62.61,84.50,43.46,66.21,32.89,23.26,34.21,58.22,58.31,75.18,65.12,21.21,59.55,46.17,53.81,54.33,3.16,49.48,31.24,50.00,20.22,3.16,80.62,21.26,51.61,17.00,68.94,27.66,20.52,46.32,65.12,20.40,3.61,52.40,66.85,47.04,21.19,29.73,26.93,68.12,53.34,70.01,38.63,65.76,18.79,20.62,26.68,70.72,17.80,30.81,71.51,8.49,28.43,26.31,26.63,63.95,53.04,49.25,37.00,49.40,22.47,66.65,52.20,36.35,25.24,48.17,37.70,49.77,37.05,66.73,30.07,36.80,50.45,50.96,52.33,74.43,60.93,30.81,36.24,7.07,40.61,31.83,11.40,42.06,68.26,25.18,62.43,18.68,48.84,51.62,42.44,21.19,62.65,15.52,22.36,50.22,77.78,27.73,56.65
V13,34.71,64.94,73.38,32.89,35.36,81.84,67.23,86.03,77.16,53.14,30.46,66.49,53.81,0.00,66.03,53.54,76.97,86.49,31.14,31.78,79.03,17.20,70.88,32.20,53.00,72.11,47.85,64.41,27.89,41.34,71.39,81.71,39.60,39.92,5.83,40.45,5.66,33.11,56.73,25.30,63.25,6.00,43.83,55.15,34.00,58.14,66.03,42.72,29.55,26.17,33.42,65.07,46.23,44.72,53.04,1.41,80.28,38.64,73.82,24.41,29.07,48.17,43.97,32.20,54.00,41.73,71.51,73.60,70.71,17.03,53.71,47.38,17.69,62.29,82.22,34.93,79.93,23.71,2.24,41.98,52.01,82.61,54.71,74.63,71.25,41.19,78.87,76.11,90.14,55.33,85.87,76.24,35.44,65.62,48.84,55.54,3.16,82.87,67.05,84.17,74.46,50.22,61.52,22.02,64.20,23.00,79.12,44.38,13.34,70.29,76.06,77.00,96.05,73.11,40.46,41.68,68.26,26.57,24.21,30.08,26.25
V14,98.84,50.25,45.25,65.38,59.08,16.40,14.42,93.48,62.63,72.99,43.17,53.15,18.11,66.03,0.00,25.96,91.76,60.44,57.43,35.36,69.40,68.35,79.85,97.94,38.01,83.57,29.83,8.54,41.11,76.06,75.15,92.20,82.61,39.01,71.40,46.17,67.23,57.27,17.72,54.92,18.97,61.22,23.43,15.03,95.85,12.17,41.76,23.43,85.07,40.71,35.11,63.07,83.02,22.80,16.03,64.64,83.24,47.76,24.60,43.86,42.72,86.02,52.39,86.40,56.32,83.38,10.05,23.26,8.94,83.01,13.89,48.84,83.41,14.42,24.00,32.56,17.46,79.71,65.73,48.76,54.82,62.23,39.56,83.77,68.48,36.40,23.35,62.80,37.22,44.01,42.15,83.67,34.41,52.48,47.38,68.88,65.19,91.24,78.43,21.19,48.80,25.18,30.81,45.18,19.85,49.04,84.97,43.29,72.12,7.00,63.60,66.61,37.48,9.22,80.31,33.06,4.47,55.23,90.21,44.15,73.25
V15,81.69,26.17,25.96,42.38,35.44,35.51,38.08,68.26,40.00,47.27,24.04,69.12,8.60,53.54,25.96,0.00,65.92,42.06,34.93,32.00,46.01,49.82,54.13,82.73,51.00,57.78,40.25,31.76,38.05,51.97,49.74,66.65,59.48,16.12,59.36,52.17,52.63,59.01,8.25,53.24,39.82,50.54,26.93,11.66,77.42,29.83,59.82,23.09,65.00,28.23,20.62,37.74,58.69,27.31,12.04,52.15,58.25,52.77,20.52,29.15,24.84,61.66,59.44,65.76,30.36,59.91,24.19,20.52,34.79,70.00,26.17,23.09,71.03,13.04,30.23,31.14,30.68,60.46,52.43,55.32,28.86,41.59,13.89,58.14,43.60,42.72,26.40,39.82,36.62,57.25,33.24,58.18,35.36,28.28,57.25,42.95,51.61,65.86,52.55,34.54,28.79,4.00,48.92,31.76,11.66,45.40,59.68,18.11,63.56,25.00,40.46,43.19,43.14,27.07,56.75,12.04,30.36,54.15,76.84,24.76,52.35
V16,77.03,43.42,54.00,44.29,44.20,97.86,103.79,11.40,37.66,24.41,60.83,128.32,74.32,76.97,91.76,65.92,0.00,50.29,48.60,83.49,31.32,60.17,12.17,84.05,110.11,8.25,99.81,97.58,86.31,36.40,18.00,6.32,42.19,57.43,80.41,104.69,71.69,104.40,74.09,96.02,104.71,79.65,86.84,77.47,70.03,94.83,121.61,82.66,58.22,71.42,68.88,29.43,34.13,87.66,77.39,76.49,15.26,104.06,75.66,67.94,62.94,34.00,111.20,56.08,35.78,40.11,87.80,76.79,100.66,83.20,90.43,44.42,85.38,77.79,86.37,85.04,91.24,60.02,74.73,107.56,37.59,43.68,52.20,9.06,26.02,98.41,82.49,36.50,82.15,115.52,70.35,10.44,89.20,41.30,112.43,24.84,73.82,8.94,13.42,93.77,51.04,67.54,111.77,70.18,73.50,89.02,11.66,50.77,90.08,89.56,35.51,32.76,92.14,90.96,39.46,62.97,96.21,97.42,85.99,60.11,52.20
V17,104.71,21.59,16.16,60.37,54.23,58.82,74.81,45.18,13.60,48.80,57.14,110.46,49.24,86.49,60.44,42.06,50.29,0.00,57.25,73.16,18.97,75.61,39.81,108.75,92.70,43.46,82.08,68.60,78.77,62.80,33.54,46.87,72.01,48.01,91.98,94.11,83.43,99.98,46.96,93.34,78.49,85.59,68.95,51.43,98.62,69.12,100.34,65.15,84.72,66.03,59.21,27.59,66.53,69.29,52.80,85.33,35.69,94.59,36.80,65.03,59.08,68.59,101.39,84.06,34.89,71.06,52.33,38.21,68.68,100.28,66.65,39.29,101.92,46.87,44.42,72.78,51.61,82.73,84.72,97.27,36.25,6.71,33.02,41.44,26.08,84.77,41.62,15.00,35.44,99.01,23.41,39.85,77.13,21.19,99.30,42.45,83.74,44.55,41.68,52.48,13.34,45.88,89.19,68.03,41.05,85.29,39.05,42.30,98.86,55.17,15.81,17.89,45.12,55.17,68.41,49.25,64.54,94.43,105.95,57.22,72.90
V18,49.04,35.85,46.32,8.00,4.47,69.92,65.19,56.36,46.69,24.21,15.30,81.54,40.02,31.14,57.43,34.93,48.60,57.25,0.00,36.72,48.01,18.38,40.72,51.97,64.01,42.54,54.63,60.01,38.42,19.42,40.52,52.48,25.18,18.97,36.00,56.73,27.02,55.80,41.76,47.43,63.95,32.28,43.42,42.76,43.84,55.23,76.49,39.81,30.61,24.19,24.52,34.00,26.48,44.38,41.44,30.27,49.65,55.90,54.38,20.25,16.76,29.43,62.94,31.06,23.19,26.02,58.52,54.71,65.07,43.17,50.25,18.36,44.91,47.43,64.88,38.91,65.55,26.91,29.07,59.46,21.38,52.63,29.00,44.72,40.11,51.62,60.90,45.54,68.88,68.80,61.62,46.10,42.54,36.06,64.82,25.08,28.07,53.24,37.12,69.46,46.53,33.53,68.01,22.02,46.52,40.46,48.85,18.44,44.41,58.69,45.40,46.10,76.84,61.13,23.00,24.52,61.20,48.83,48.70,14.32,17.80
V19,66.10,54.08,57.43,43.86,40.50,51.66,35.47,89.38,68.35,59.82,22.67,45.00,27.89,31.78,35.36,32.00,83.49,73.16,36.72,0.00,72.92,39.01,73.66,63.98,27.29,76.38,18.44,32.76,6.32,55.54,71.40,86.31,58.94,27.78,36.72,21.95,34.21,27.02,31.05,21.59,31.78,26.42,12.21,27.86,64.33,26.42,39.92,12.21,56.01,12.53,15.26,61.06,62.39,13.04,25.63,30.46,80.80,21.93,49.04,16.55,20.62,65.19,29.07,58.01,50.22,60.44,42.44,48.38,39.12,48.37,22.20,41.05,48.55,35.47,55.01,3.16,51.04,50.04,31.95,25.06,48.01,71.57,40.80,77.90,67.74,15.00,52.39,67.78,65.46,32.20,64.63,78.75,5.83,55.71,29.07,58.69,31.62,86.45,70.72,55.22,59.84,28.00,32.39,15.52,39.29,14.32,81.06,34.99,36.77,40.61,68.15,70.26,69.32,43.42,57.87,24.35,37.01,22.36,55.57,23.43,46.53
V20,91.76,19.85,25.63,48.84,44.10,71.69,83.10,27.07,7.28,33.12,52.89,114.62,54.45,79.03,69.40,46.01,31.32,18.97,48.01,72.92,0.00,65.49,21.10,96.84,96.26,24.60,85.45,76.69,77.62,48.33,15.00,28.16,57.25,45.31,84.01,94.81,75.03,98.35,53.08,90.80,85.59,79.40,71.85,57.28,85.23,75.66,105.76,67.68,71.51,63.25,57.78,14.04,50.77,72.42,58.00,78.06,17.03,94.85,48.85,61.13,55.08,52.43,101.98,70.38,25.08,55.95,63.13,50.16,78.24,90.67,72.18,32.98,92.54,55.00,58.52,73.36,64.62,70.60,77.01,97.94,27.17,12.37,33.02,22.47,8.94,86.45,55.03,6.71,52.15,102.34,40.05,20.88,77.83,17.80,101.21,27.31,76.01,26.02,23.43,66.41,22.14,49.04,94.92,64.03,49.65,82.86,20.22,38.28,92.14,65.51,5.83,2.83,62.13,66.24,53.67,48.76,73.82,92.05,95.52,52.63,60.88
V21,31.89,54.23,64.50,17.03,21.59,82.73,72.99,69.64,64.76,36.88,26.08,80.06,52.84,17.20,68.35,49.82,60.17,75.61,18.38,39.01,65.49,0.00,54.92,33.84,64.54,55.79,57.22,68.88,37.66,24.19,56.14,65.15,22.80,33.97,20.25,53.85,11.66,48.83,55.23,40.50,70.26,21.26,49.37,55.01,27.78,63.15,77.67,46.87,17.12,28.44,33.24,51.48,29.07,50.36,53.23,17.03,64.63,52.39,70.18,24.74,25.94,31.11,58.59,19.00,41.23,24.84,71.59,70.29,74.73,25.18,58.25,36.67,27.07,61.06,80.00,42.00,79.40,11.40,15.00,55.95,39.56,70.88,46.62,58.46,57.14,51.97,76.22,63.56,85.56,68.01,79.20,60.21,44.18,54.42,62.39,40.11,14.21,66.48,50.99,83.53,64.85,47.43,71.25,24.19,61.40,35.85,63.15,35.81,29.97,71.11,63.35,63.79,92.85,73.79,23.35,38.01,71.47,41.88,30.36,25.24,9.22
V22,76.30,31.26,42.05,38.08,36.25,85.70,92.13,15.81,26.57,18.11,51.22,118.11,62.61,70.88,79.85,54.13,12.17,39.81,40.72,73.66,21.10,54.92,0.00,82.49,99.76,4.00,89.27,85.87,77.01,33.06,6.32,12.81,40.79,46.75,74.95,95.27,65.97,96.04,62.24,87.82,93.30,72.80,76.06,65.74,69.43,83.35,110.89,71.84,56.44,62.01,58.69,17.26,33.24,76.84,65.76,70.21,10.05,94.81,63.51,58.82,53.41,34.18,102.00,54.74,24.41,39.05,75.69,64.63,88.77,79.31,79.08,33.42,81.39,65.79,74.24,74.97,79.08,57.01,68.68,98.23,26.40,33.11,40.31,4.24,14.32,88.41,70.35,25.30,70.35,105.36,58.69,5.39,79.25,29.15,102.73,15.65,67.72,12.81,4.00,81.61,39.20,55.95,100.80,61.29,61.40,80.45,8.25,39.82,84.20,77.49,24.35,21.93,80.31,78.85,37.48,52.01,84.31,89.19,83.01,50.61,48.09
V23,8.60,87.66,98.27,48.47,54.56,113.46,99.40,95.00,97.14,64.94,58.69,94.00,84.50,32.20,97.94,82.73,84.05,108.75,51.97,63.98,96.84,33.84,82.49,0.00,83.19,82.15,79.40,96.60,59.81,49.50,85.33,90.01,42.01,67.36,27.51,69.46,30.81,59.00,87.21,53.34,95.27,37.70,76.03,86.21,14.87,90.34,95.75,74.79,26.08,57.43,64.03,83.17,50.00,76.92,84.20,33.54,92.54,67.36,103.25,54.82,58.00,50.09,71.01,28.00,73.93,44.00,102.80,103.24,102.88,16.28,85.88,70.33,17.03,92.96,112.54,67.12,111.04,26.25,32.25,70.18,72.50,103.62,80.45,85.21,88.06,72.28,108.93,95.86,119.00,84.38,113.00,87.28,67.42,87.66,77.16,69.86,32.76,92.01,78.52,115.26,98.49,79.93,92.65,53.01,94.07,53.85,90.27,69.63,32.02,101.83,95.52,95.51,125.87,104.62,45.10,70.71,100.34,54.23,10.05,58.00,36.06
V24,87.28,76.55,76.56,71.11,67.74,52.17,27.51,115.26,90.74,86.84,49.65,18.44,43.46,53.00,38.01,51.00,110.11,92.70,64.01,27.29,96.26,64.54,99.76,83.19,0.00,102.73,10.82,30.27,26.93,82.76,96.90,112.54,85.70,53.04,56.22,14.32,57.14,26.93,45.88,30.08,21.19,47.00,24.41,41.44,87.00,26.02,13.15,28.60,80.89,39.82,41.23,85.80,89.55,23.85,39.92,52.01,106.15,16.55,60.83,43.83,47.71,92.31,17.03,83.19,75.66,87.32,48.00,59.68,35.17,66.91,26.68,66.47,66.29,47.30,62.01,25.24,55.23,74.81,54.04,15.00,73.54,92.59,63.25,104.00,92.31,12.65,61.07,90.43,75.06,6.32,78.45,104.66,21.47,78.49,10.30,85.28,54.08,112.45,97.08,58.55,79.62,47.51,11.31,42.54,52.89,30.00,106.78,60.11,51.66,45.01,90.97,93.48,75.33,47.10,84.86,48.17,36.35,29.41,73.55,50.48,72.80
V25,75.66,35.23,46.04,39.22,38.08,89.63,95.71,13.93,30.36,18.97,53.81,121.02,66.21,72.11,83.57,57.78,8.25,43.46,42.54,76.38,24.60,55.79,4.00,82.15,102.73,0.00,92.31,89.47,79.51,33.06,10.20,10.00,40.20,49.82,75.96,97.84,67.05,98.18,65.92,89.89,96.75,74.32,79.20,69.35,68.73,86.83,114.02,75.00,56.08,64.54,61.55,21.21,32.39,80.00,69.32,71.51,11.18,97.31,67.48,61.22,55.97,32.98,104.48,54.23,27.78,38.33,79.56,68.59,92.48,79.76,82.49,36.62,81.88,69.57,78.23,77.79,83.02,57.08,69.89,100.77,29.68,36.77,44.01,3.16,18.25,91.22,74.33,29.12,74.33,108.25,62.65,5.39,82.02,33.14,105.42,17.80,68.95,10.77,5.66,85.59,43.19,59.48,104.04,63.60,65.25,82.66,8.25,43.01,85.38,81.32,28.16,25.63,84.29,82.71,37.05,55.22,88.02,91.27,83.15,53.15,48.51
V26,82.57,65.73,65.92,62.03,58.14,45.31,22.67,104.69,79.92,76.85,39.82,29.21,32.89,47.85,29.83,40.25,99.81,82.08,54.63,18.44,85.45,57.22,89.27,79.40,10.82,92.31,0.00,23.26,20.10,73.74,86.27,102.07,77.37,42.52,51.92,16.55,51.24,28.60,35.44,28.60,17.03,41.98,13.60,31.05,81.50,17.72,21.95,17.80,74.06,30.68,31.06,75.07,80.65,13.04,29.41,46.69,95.48,18.36,51.16,34.79,38.01,83.49,22.56,76.16,65.07,78.85,39.46,50.09,29.15,63.25,17.00,55.90,62.97,37.34,53.46,15.81,47.30,68.03,48.51,18.97,62.97,81.84,52.43,93.51,81.57,7.81,52.09,79.61,66.07,17.00,68.59,94.11,13.04,67.68,18.03,75.00,48.37,101.91,86.68,50.96,68.94,36.72,14.04,33.96,42.76,25.63,96.18,49.52,49.19,36.67,80.16,82.66,67.27,39.05,76.24,37.48,29.15,28.43,70.23,40.71,64.94
