30,6
,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36
V10,17.03,5.10,53.34,70.35,16.40,67.60,62.01,43.32,65.60,28.79,0.00,31.14,46.82,60.73,40.79,54.82,71.06,23.02,20.00,112.36,97.12,83.22,94.76,8.94,84.17,70.21,82.98,88.23,53.14,84.53,72.24,77.10,80.06,93.06,82.28,49.09,54.63
V11,36.06,30.07,55.90,71.17,23.26,67.68,39.36,19.72,49.82,31.89,31.14,0.00,43.66,34.21,43.57,27.80,73.54,37.74,35.36,85.70,66.85,68.45,73.82,36.69,62.65,42.52,54.23,58.18,48.76,53.60,64.12,46.01,49.03,65.44,74.03,18.97,47.85
V12,62.82,41.79,13.45,27.51,31.58,24.04,33.54,63.16,25.30,18.03,46.82,43.66,0.00,74.89,8.94,68.80,29.97,27.02,28.84,80.60,78.64,38.95,55.46,55.71,47.13,48.76,89.83,70.09,6.32,72.62,25.50,72.95,70.21,66.00,35.47,57.43,8.49
V13,57.01,61.47,88.01,101.71,57.14,98.11,56.72,17.46,72.28,65.80,60.73,34.21,74.89,0.00,76.58,6.40,104.62,71.85,69.34,86.33,57.80,88.96,86.37,62.80,76.06,49.25,23.00,51.97,78.89,42.20,90.48,29.07,37.44,66.48,99.33,17.49,76.94
V14,57.43,35.69,13.15,30.02,27.07,27.02,41.05,63.29,34.18,13.15,40.79,43.57,8.94,76.58,0.00,70.29,31.40,19.24,21.54,89.27,85.84,47.63,64.40,49.48,55.97,55.73,93.24,77.10,14.14,78.75,33.02,77.83,75.96,74.11,42.54,59.41,17.20
V15,52.09,55.36,81.84,95.77,50.77,92.18,52.15,12.00,67.27,59.41,54.82,27.80,68.80,6.40,70.29,0.00,98.62,65.46,62.97,85.09,58.00,84.38,83.02,57.31,72.44,46.10,28.28,51.40,72.95,42.43,85.07,30.00,37.48,64.85,94.11,11.70,71.11
V16,88.02,66.03,18.25,4.12,58.42,7.21,56.61,93.11,41.59,44.55,71.06,73.54,29.97,104.62,31.40,98.62,0.00,48.17,51.09,92.66,99.74,42.01,63.07,79.31,59.44,72.11,118.34,92.18,25.81,97.08,24.33,99.82,95.60,83.49,26.68,87.13,28.32
V17,40.05,18.11,30.81,47.68,14.87,45.12,52.20,55.97,50.22,11.70,23.02,37.74,27.02,71.85,19.24,65.46,48.17,0.00,3.16,102.88,94.13,65.76,80.71,31.14,71.20,64.50,91.68,85.09,33.02,84.29,52.15,80.28,80.62,85.62,61.77,56.36,35.47
V18,37.01,15.03,33.54,50.49,12.21,47.85,52.20,53.26,51.22,12.21,20.00,35.36,28.84,69.34,21.54,62.97,51.09,3.16,0.00,103.08,93.34,67.27,81.61,28.28,71.87,63.95,89.47,84.29,34.99,83.10,54.20,78.64,79.31,85.44,63.95,54.13,37.20
V19,121.51,108.91,89.27,88.57,97.13,86.28,50.99,91.61,55.58,91.18,112.36,85.70,80.60,86.33,89.27,85.09,92.66,102.88,103.08,0.00,32.06,50.99,30.08,120.10,34.06,43.19,79.25,34.79,77.65,45.61,68.36,58.82,49.65,20.62,68.15,78.01,73.68
V20,102.42,94.83,90.52,95.71,84.34,92.61,45.12,66.84,58.18,83.01,97.12,66.85,78.64,57.80,85.84,58.00,99.74,94.13,93.34,32.06,0.00,63.78,48.26,103.46,43.86,30.15,47.54,9.06,78.16,15.62,76.66,28.84,20.52,19.42,80.60,53.82,74.33
V21,97.49,78.49,42.54,38.00,66.89,36.12,32.25,84.10,18.68,55.44,83.22,68.45,38.95,88.96,47.63,84.38,42.01,65.76,67.27,50.99,63.78,0.00,21.10,92.11,20.00,42.95,95.08,58.05,33.60,66.03,18.25,73.35,66.37,45.22,17.46,73.11,30.48
V22,107.00,90.52,61.85,59.03,78.49,57.01,34.48,85.73,30.53,69.40,94.76,73.82,55.46,86.37,64.40,83.02,63.07,80.71,81.61,30.08,48.26,21.10,0.00,103.32,11.18,37.12,87.30,44.78,51.26,54.71,39.01,64.94,56.52,28.84,38.08,73.01,47.54
V23,10.30,13.93,61.81,78.77,25.24,76.12,70.18,45.40,74.40,37.70,8.94,36.69,55.71,62.80,49.48,57.31,79.31,31.14,28.28,120.10,103.46,92.11,103.32,0.00,92.63,77.52,85.59,94.70,62.03,90.25,81.15,81.88,85.62,100.50,91.18,53.24,63.56
V24,96.05,80.06,55.23,55.32,68.01,52.77,23.32,74.73,21.84,59.68,84.17,62.65,47.13,76.06,55.97,72.44,59.44,71.20,71.87,34.06,43.86,20.00,11.18,92.63,0.00,27.07,78.59,38.60,43.74,47.41,35.17,56.32,48.47,25.24,37.22,62.17,39.81
V25,78.41,67.23,61.10,68.24,55.97,64.90,15.65,50.09,31.14,53.15,70.21,42.52,48.76,49.25,55.73,46.10,72.11,64.50,63.95,43.19,30.15,42.95,37.12,77.52,27.07,0.00,52.20,21.38,48.85,25.00,50.91,30.41,24.08,23.02,57.20,36.77,45.19
V26,80.01,83.24,103.28,114.98,77.47,111.40,64.50,40.20,81.12,84.06,82.98,54.23,89.83,23.00,93.24,28.28,118.34,91.68,89.47,79.25,47.54,95.08,87.30,85.59,78.59,52.20,0.00,45.10,92.70,34.06,100.70,22.36,31.06,62.01,108.30,35.34,90.03
V27,93.94,85.87,82.22,88.19,75.31,85.00,36.69,59.41,50.61,74.00,88.23,58.18,70.09,51.97,77.10,51.40,92.18,85.09,84.29,34.79,9.06,58.05,44.78,94.70,38.60,21.38,45.10,0.00,69.89,11.05,69.63,24.04,14.87,17.12,74.33,46.10,66.13
V28,69.12,48.10,12.37,22.83,37.85,19.24,33.24,68.01,22.09,24.35,53.14,48.76,6.32,78.89,14.14,72.95,25.81,33.02,34.99,77.65,78.16,33.60,51.26,62.03,43.74,48.85,92.70,69.89,0.00,73.36,19.24,74.81,71.34,64.28,29.15,61.40,4.00
V29,88.39,82.73,85.43,93.23,73.06,89.87,40.50,51.61,56.08,73.82,84.53,53.60,72.62,42.20,78.75,42.43,97.08,84.29,83.10,45.61,15.62,66.03,54.71,90.25,47.41,25.00,34.06,11.05,73.36,0.00,75.74,13.42,5.00,28.02,81.47,38.95,69.84
V30,87.93,67.23,25.24,20.22,56.61,18.00,36.40,82.20,19.85,43.46,72.24,64.12,25.50,90.48,33.02,85.07,24.33,52.15,54.20,68.36,76.66,18.25,39.01,81.15,35.17,50.91,100.70,69.63,19.24,75.74,0.00,80.43,74.97,59.62,10.20,73.38,17.72
V31,78.85,76.01,86.27,96.21,67.60,92.70,44.05,40.25,60.61,70.84,77.10,46.01,72.95,29.07,77.83,30.00,99.82,80.28,78.64,58.82,28.84,73.35,64.94,81.88,56.32,30.41,22.36,24.04,74.81,13.42,80.43,0.00,9.22,40.31,87.37,28.86,71.70
V32,83.57,78.41,83.24,91.83,69.00,88.41,39.05,46.62,55.15,70.41,80.06,49.03,70.21,37.44,75.96,37.48,95.60,80.62,79.31,49.65,20.52,66.37,56.52,85.62,48.47,24.08,31.06,14.87,71.34,5.00,74.97,9.22,0.00,31.14,81.22,34.00,67.96
V33,101.40,89.90,76.53,79.38,78.39,76.54,33.54,71.03,42.76,73.98,93.06,65.44,66.00,66.48,74.11,64.85,83.49,85.62,85.44,20.62,19.42,45.22,28.84,100.50,25.24,23.02,62.01,17.12,64.28,28.02,59.62,40.31,31.14,0.00,62.43,57.43,60.30
V34,98.08,77.25,33.24,23.09,66.76,22.36,43.83,91.79,27.31,53.49,82.28,74.03,35.47,99.33,42.54,94.11,26.68,61.77,63.95,68.15,80.60,17.46,38.08,91.18,37.22,57.20,108.30,74.33,29.15,81.47,10.20,87.37,81.22,62.43,0.00,82.46,27.89
V35,50.00,48.66,70.60,84.22,42.15,80.62,41.00,13.60,55.73,49.20,49.09,18.97,57.43,17.49,59.41,11.70,87.13,56.36,54.13,78.01,53.82,73.11,73.01,53.24,62.17,36.77,35.34,46.10,61.40,38.95,73.38,28.86,34.00,57.43,82.46,0.00,59.48
V36,70.21,49.66,16.28,25.00,38.90,21.40,29.55,66.76,18.11,25.94,54.63,47.85,8.49,76.94,17.20,71.11,28.32,35.47,37.20,73.68,74.33,30.48,47.54,63.56,39.81,45.19,90.03,66.13,4.00,69.84,17.72,71.70,67.96,60.30,27.89,59.48,0.00
